name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
spark,https://github.com/apache/spark,Scala,131,0,2375,4,54.0,13,1254,1459,12.2,396293,0.96689
gradle,https://github.com/gradle/gradle,Groovy,156,0,584,5,182.5,42,1324,2175,1.9,40942,0.86748
flink,https://github.com/apache/flink,Java,122,0,1150,6,97.2,14,1274,1427,3.2,7857,0.85555
hadoop,https://github.com/apache/hadoop,Java,141,0,516,7,21.1,29,222,312,4.5,54913,0.84886
spring-boot,https://github.com/spring-projects/spring-boot,Java,100,0,934,7,70.8,37,1202,1391,1.4,18852,0.84845
scala,https://github.com/scala/scala,Scala,217,0,599,7,22.5,5,342,397,2.5,312819,0.84383
beam,https://github.com/apache/beam,Java,73,0,982,7,67.2,7,718,819,4.3,11399,0.837
jdk,https://github.com/openjdk/jdk,Java,159,0,1437,2,94.0,52,1508,1656,9.4,1196,0.83698
jenkins,https://github.com/jenkinsci/jenkins,Java,172,0,953,6,21.2,52,210,262,3.1,27981,0.83317
netty,https://github.com/netty/netty,Java,151,0,588,10,8.8,18,284,389,3.1,27267,0.82617
bazel,https://github.com/bazelbuild/bazel,Java,80,0,739,4,77.6,17,712,1755,1.6,34107,0.81984
pmd,https://github.com/pmd/pmd,Java,225,0,299,6,27.8,11,148,330,2.2,164345,0.81159
ballerina-lang,https://github.com/ballerina-platform/ballerina-lang,Java,81,0,381,8,233.3,20,1480,2069,0.4,9325,0.80873
cas,https://github.com/apereo/cas,Java,127,0,291,8,40.3,26,67,78,4.2,12979,0.80355
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android,Kotlin,137,0,177,3,157.3,146,627,829,2.6,19310,0.79609
spring-framework,https://github.com/spring-projects/spring-framework,Java,152,0,596,4,31.9,35,502,892,1.6,14532,0.79378
tasks,https://github.com/tasks/tasks,Kotlin,129,0,137,4,36.8,49,107,162,1.5,340439,0.7882
nokogiri,https://github.com/sparklemotion/nokogiri,Java,151,0,204,8,6.5,6,89,135,1.8,380664,0.78064
closure-compiler,https://github.com/google/closure-compiler,Java,136,0,1076,5,24.8,13,39,68,2.7,10875,0.77777
kafka,https://github.com/apache/kafka,Java,114,0,923,2,26.9,16,753,930,1.8,12591,0.77213
checkstyle,https://github.com/checkstyle/checkstyle,Java,237,0,303,5,16.9,13,325,459,3.3,8874,0.76693
cloudstack,https://github.com/apache/cloudstack,Java,126,0,651,6,11.4,1,318,545,6.2,4812,0.76652
android,https://github.com/nextcloud/android,Java,114,0,169,5,32.4,32,814,1016,3.8,2611,0.76651
akka,https://github.com/akka/akka,Scala,144,0,960,6,16.5,7,289,396,2.6,2448,0.76346
presto,https://github.com/prestosql/presto,Java,102,0,564,4,76.6,33,997,1491,1.9,762,0.76299
